2017-11-20,EE0000797,12616 VENTURA BLVD,STUDIO CITY,FA0251921,EAT FIT GO,CA,91604-2252,A,OW0245786,RFG STUDIO CITY LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,EAT FIT GO,ACTIVE,PR0201126,98,DATHE9IRY,1,ROUTINE INSPECTION,eat fit go
2017-11-14,EE0000799,1911 E GAGE AVE # D-35,HUNTINGTON PARK,FA0251895,SMILEY'S STOP,CA,90001,A,OW0245774,GUADALUPE BRITO,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SMILEY'S STOP,ACTIVE,PR0201099,100,DAZLWEJ7Y,1,ROUTINE INSPECTION,smiley's stop
2017-11-16,EE0000366,1479 E 22ND ST,LOS ANGELES,FA0251894,P & J MARKET,CA,90011-1305,A,OW0245773,"P & J, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,P & J MARKET,ACTIVE,PR0201098,99,DA74AEWCR,1,ROUTINE INSPECTION,p & j market
2017-12-05,EE0000971,1440 WEST AVE I,LANCASTER,FA0251872,ROYS MARKET,CA,93534,B,OW0245753,RIAD DAKHIL,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,ROYS MARKET,ACTIVE,PR0201071,81,DAXUCMV0A,1,ROUTINE INSPECTION,roys market
2017-12-28,EE0000633,100 WORLD WAY # 168,LOS ANGELES,FA0251823,THE NEW STAND #168,CA,90045,A,OW0245709,PGC-AIR LAX LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,THE NEW STAND #168,ACTIVE,PR0201015,100,DATFPSYJ5,1,ROUTINE INSPECTION,the new stand
2017-12-13,EE0000081,3601 SLAUSON AVE,MAYWOOD,FA0251723,7-ELEVEN STORE 37053A,CA,90270-2631,A,OW0245621,"PANNU, INC.","FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1614,7-ELEVEN STORE 37053A,ACTIVE,PR0200901,92,DAJ8YN90A,1,ROUTINE INSPECTION,7-eleven store 37053a
2017-11-21,EE0000120,7260 ROSEMEAD BLVD,SAN GABRIEL,FA0251722,GROCERY OUTLET OF SAN GABRIEL,CA,91775,A,OW0245620,POINTE PESCADE INC.,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,GROCERY OUTLET OF SAN GABRIEL,ACTIVE,PR0200900,97,DAFAVUA9C,1,ROUTINE INSPECTION,grocery outlet of san gabriel
2017-11-07,EE0000869,356 S WESTERN AVE,LOS ANGELES,FA0251701,TO SOC CHON,CA,90020-3814,A,OW0245600,CHRISTINA LEE,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,TO SOC CHON,ACTIVE,PR0200879,90,DAYKBLVE0,1,ROUTINE INSPECTION,to soc chon
2017-11-08,EE0000731,21186 HAWTHORNE BLVD,TORRANCE,FA0251700,CIRCLE - K,CA,90503,A,OW0245599,PARAMJIT KAUR,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",1611,CIRCLE - K,ACTIVE,PR0200878,90,DAAUCFIDN,1,ROUTINE INSPECTION,circle - k
2017-11-06,EE0000557,3011 WABASH AVE,LOS ANGELES,FA0251698,ARCOIRIS 98 CENTS,CA,90063,A,OW0245598,JAVIER CHANAX ALVAREZ,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ARCOIRIS 98 CENTS,ACTIVE,PR0200876,99,DAIRJCZJ9,1,ROUTINE INSPECTION,arcoiris 98 cents
2017-12-11,EE0000829,2720 E CARSON ST,CARSON,FA0251665,CFS18-CARSON,CA,90810,A,OW0179308,"CARDLOCK FUELS SYSTEM, INC","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,CFS18-CARSON,ACTIVE,PR0200835,91,DAT30DNB1,1,ROUTINE INSPECTION,cfs18-carson
2017-11-14,EE0000838,8000 W SUNSET BLVD STE B-150,LOS ANGELES,FA0251652,CB2,CA,90046,A,OW0011399,EUROMARKET DESIGNS INC.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,CB2,ACTIVE,PR0200821,97,DAFIPAFO1,1,ROUTINE INSPECTION,cb2
2017-11-29,EE0000176,4406 W ADAMS BLVD,LOS ANGELES,FA0251646,THRIFTY ARCO,CA,90016,A,OW0245559,MAHAN INC.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,THRIFTY ARCO,ACTIVE,PR0200817,93,DAFSPQL4K,1,ROUTINE INSPECTION,thrifty arco
2017-10-31,EE0000043,10638 CULVER BLVD,CULVER CITY,FA0251487,JP FOOD MARKET & 711,CA,90232-3424,A,OW0245418,"J.P. FOOD MART, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,JP FOOD MARKET & 711,ACTIVE,PR0200627,100,DA3HUOPON,1,ROUTINE INSPECTION,jp food market & 711
2017-11-03,EE0000868,3525 PACIFIC COAST HWY STE Q,TORRANCE,FA0251412,TAMIZA'S TREATS,CA,90505,A,OW0245347,TAMIZA'S TREATS LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,TAMIZA'S TREATS,ACTIVE,PR0200550,98,DAQZXX0US,1,ROUTINE INSPECTION,tamiza's treats
2017-10-24,EE0000855,408 N RODEO DR,BEVERLY HILLS,FA0251369,ST. SUPERY VINEYARDS & WINERY,CA,90210,A,OW0245312,ST. SUPERY INC.,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1613,ST. SUPERY VINEYARDS & WINERY,ACTIVE,PR0200499,100,DA2CRY0CD,1,ROUTINE INSPECTION,st. supery vineyards & winery
2017-10-24,EE0000375,10250 SANTA MONICA BLVD # 2650,LOS ANGELES,FA0251368,USA K MINAMOTO,CA,90067,A,OW0227007,K MINAMOTO LA CA LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,USA K MINAMOTO,ACTIVE,PR0200498,91,DASU20MLU,1,ROUTINE INSPECTION,usa k minamoto
2017-11-03,EE0000375,10250 SANTA MONICA BLVD,LOS ANGELES,FA0251367,GAVIN DE BECKER LOUNGE,CA,90067,A,OW0245311,PRIVATE SUITE WESTFIELD LLC,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,GAVIN DE BECKER LOUNGE,ACTIVE,PR0200497,97,DACUGVTAT,1,ROUTINE INSPECTION,gavin de becker lounge
2017-10-19,EE0000081,4117 SLAUSON AVE,MAYWOOD,FA0251348,A & B WHOLESALE,CA,90270,A,OW0245296,MANSOUR MOZAFARI,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,A & B WHOLESALE,ACTIVE,PR0200481,99,DAOFEG72E,1,ROUTINE INSPECTION,a & b wholesale
2017-10-24,EE0001021,11228 S WILMINGTON AVE,LOS ANGELES,FA0251347,WATTS STAR MINI MARKET,CA,90059,A,OW0245295,ROCKY PATEL,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,WATTS STAR MINI MARKET,ACTIVE,PR0200480,94,DAUTY07V5,1,ROUTINE INSPECTION,watts star mini market
2017-11-01,EE0000925,326 W ARBOR VITAE ST,INGLEWOOD,FA0251313,BOB'S DAIRY MARKET,CA,90301,A,OW0245265,BOB'S DAIRY MARKET INC.,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,BOB'S DAIRY MARKET,ACTIVE,PR0200441,94,DAW4G89JE,1,ROUTINE INSPECTION,bob's dairy market
2017-12-12,EE0000846,910 N VERMONT AVE,LOS ANGELES,FA0251312,ALIPAPA MINI MARKET,CA,90029,A,OW0245264,ACHYUTA KUMAR CHAKRABORTY,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,ALIPAPA MINI MARKET,ACTIVE,PR0200440,97,DAPHWEKAU,1,ROUTINE INSPECTION,alipapa mini market
2017-12-28,EE0000873,840 W GARDENA BLVD,GARDENA,FA0251300,SPARKLE'S LIQUOR,CA,90247,A,OW0245253,SPARKLE N MICKENS,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SPARKLE'S LIQUOR,ACTIVE,PR0200427,94,DAYSVQFYM,1,ROUTINE INSPECTION,sparkle's liquor
2017-11-03,EE0000869,600 S HARVARD BLVD STE 102,LOS ANGELES,FA0251261,SNACKS ON HARVARD,CA,90005-2586,A,OW0245217,GEUM SOOK LIM,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,SNACKS ON HARVARD,ACTIVE,PR0200386,98,DA0I2DDN8,1,ROUTINE INSPECTION,snacks on harvard
2017-11-28,EE0000998,201 E BEVERLY BLVD STE F,MONTEBELLO,FA0251237,7 ESTRELLAS DISCOUNT,CA,90640-3787,A,OW0245194,GABRIEL ESCOBAR,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,7 ESTRELLAS DISCOUNT,ACTIVE,PR0200359,92,DAVENQSI8,1,ROUTINE INSPECTION,7 estrellas discount
2017-10-24,EE0000258,3650 S NOGALES ST,WEST COVINA,FA0251228,FELIX SUPERMARKET,CA,91792,A,OW0245187,FELIX SUPERMARKET INC.,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",1612,FELIX SUPERMARKET - SEAFOOD,ACTIVE,PR0200347,94,DAZJMHBN9,1,ROUTINE INSPECTION,felix supermarket
2017-10-31,EE0000214,4803 WHITSETT AVE,VALLEY VILLAGE,FA0251198,TRIPLE DEUCES WINE & SPIRITS,CA,91607-3511,A,OW0245164,TOROSS TSAROUKIAN,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,TRIPLE DEUCES WINE & SPIRITS,ACTIVE,PR0200313,93,DAKDLY73R,1,ROUTINE INSPECTION,triple deuces wine & spirits
2017-12-07,EE0000633,300 WORLD WAY # 338,LOS ANGELES,FA0251191,LA EXPRESS - 1842,CA,90045,A,OW0245159,HQ LAX T3 RETAILERS.JV,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LA EXPRESS 1842 - GATE 35,ACTIVE,PR0200305,95,DA6KGZL53,1,ROUTINE INSPECTION,la express - 1842
